Surface [m2],Rooms,Price [CHF/month],Country,City
33.0,1.0,592,Germany,Freiburg
45.0,2.0,877,Germany,Freiburg
80.0,3.0,1441,Germany,Freiburg
44.0,2.0,971,Germany,Freiburg
57.0,3.0,1026,Germany,Freiburg
100.0,3.0,1305,Germany,Freiburg
70.0,3.0,1597,Germany,Freiburg
80.0,3.0,1462,Germany,Freiburg
70.0,2.0,1253,Germany,Freiburg
68.0,3.0,741,Germany,Freiburg
60.0,3.0,971,Germany,Freiburg
45.0,2.0,470,Germany,Freiburg
65.0,2.0,699,Germany,Freiburg
36.0,2.0,606,Germany,Freiburg
75.0,2.0,846,Germany,Freiburg
60.0,2.0,877,Germany,Freiburg
55.0,2.0,762,Germany,Freiburg
38.0,2.0,679,Germany,Freiburg
25.0,2.0,626,Germany,Freiburg
45.0,2.0,867,Germany,Freiburg
49.0,2.0,783,Germany,Freiburg
82.0,2.0,606,Germany,Freiburg
68.0,2.0,1091,Germany,Freiburg
45.0,2.0,835,Germany,Freiburg
65.0,3.0,950,Germany,Freiburg
15.0,1.0,334,Germany,Freiburg
68.0,2.0,1044,Germany,Freiburg
45.0,2.0,658,Germany,Freiburg
